Local authority code,Local authority name,LSOA code,LSOA name,median_house_price,Employment (walking),Education (walking),Healthcare (walking),Leisure and Community (walking),Shopping (walking),Residential (walking),Overall (walking),Employment (cycling),Education (cycling),Healthcare (cycling),Leisure and Community (cycling),Shopping (cycling),Residential (cycling),Overall (cycling),Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport),Employment (driving),Education (driving),Healthcare (driving),Leisure and Community (driving),Shopping (driving),Residential (driving),Overall (driving),Employment (overall),Education (overall),Healthcare (overall),Leisure and Community (overall),Shopping (overall),Residential (overall),Overall,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E08000032,Bradford,E01010568,Bradford 016A,235000,47.91,37.53,38.02,58.14,66.75,67.86,55.79,63.22,62.61,52.39,71.87,76.84,74.99,68.35,65.65,63.18,53.03,65.17,71.34,65.54,66.44,78.54,79.13,75.3,86.01,89.54,86.74,85.55,61.66,50.05,46.83,62.65,69.66,67.86,62.45,12.374,0.134,0.092,10.362,-0.018,-0.587,13.767,32.546,0.152,0.16,-0.481,0.207,37.545,-2.605,0.59,0.172
E08000032,Bradford,E01010569,Bradford 016B,181000,52.06,60.81,53.73,72.58,76.57,70.87,69.09,63.51,74.7,60.67,81.27,81.7,75.11,72.58,66.77,71.42,63.11,75.09,79.19,67.35,72.25,78.63,84.32,76.96,88.44,90.78,86.78,87.09,63.34,66.43,59.32,74.48,78.26,70.1,71.14,31.239,0.286,0.205,31.713,0.863,1.378,8.615,15.935,0.354,0.311,0.823,0.276,28.815,-2.117,0.012,-0.218
E08000032,Bradford,E01010570,Bradford 018A,466000,47.01,60.9,42.66,54.2,50.99,66.51,56.63,61.26,73.89,54.14,71.34,63.91,72.96,66.66,60.97,64.13,51.52,61.12,59.43,61.38,61.11,76.38,62.45,72.27,79.12,80.89,84.68,78.89,58.18,63.32,48.08,58.92,55.96,65.13,59.87,3.373,0.032,0.042,2.728,-0.719,-0.073,13.422,3.203,0.044,0.025,-1.586,0.151,40.052,-5.673,-0.799,-0.593
E08000032,Bradford,E01010571,Bradford 016C,185000,52.7,46.54,52.36,73.65,84.5,71.68,67.91,64.01,71.36,62.83,81.25,85.51,75.55,73.04,67.93,68.27,64.55,76.71,84.86,68.61,73.93,78.96,80.53,79.44,89.53,92.94,87.21,87.81,64.3,57.42,59.59,75.74,84.86,71.1,71.58,32.458,0.315,0.178,38.615,0.778,1.632,6.416,18.756,0.546,0.179,1.382,0.233,28.364,-3.536,-0.122,0.429
E08000032,Bradford,E01010572,Bradford 016D,252500,50.01,37.8,49.85,66.61,76.82,69.86,61.35,63.77,67.83,64.46,80.1,85.63,75.54,72.32,64.83,62.38,59.92,70.8,78.92,65.3,69.1,78.81,77.92,81.23,89.85,93.64,87.14,87.85,61.67,50.13,56.07,69.71,78.43,68.71,66.38,7.49,0.083,0.069,14.336,-0.606,-0.667,9.488,21.359,0.141,0.058,0.002,0.205,33.631,-3.768,0.244,-0.144
E08000032,Bradford,E01010573,Bradford 013A,395000,41.83,45.61,48.44,50.19,55.73,63.99,52.44,61.76,71.1,62.77,74.83,73.49,73.7,68.84,55.8,53.53,49.55,55.44,61.87,56.94,57.04,76.47,64.02,73.07,79.14,81.81,84.74,79.4,53.78,50.61,49.82,54.67,59.79,61.97,56.24,10.099,0.107,0.09,6.739,-0.428,-0.153,17.145,23.173,0.195,0.081,-0.761,0.18,43.662,-3.687,0.442,-0.705
E08000032,Bradford,E01010574,Bradford 013B,315000,44.74,36.2,48.55,55.29,64.87,65.93,54.14,62.67,64.68,55.25,70.35,73.2,74.66,67.57,63.6,59.96,55.06,63.32,71.63,63.59,64.97,77.83,75.91,76.17,84.31,87.5,86.04,84.04,59.56,48.08,52.56,60.4,68.78,66.04,60.96,5.573,0.081,0.061,3.347,-0.534,-0.178,13.319,9.287,0.093,0.081,-1.305,0.155,39.051,-4.036,-0.234,-0.62
E08000032,Bradford,E01010575,Bradford 013C,268725,43.58,38.25,55.59,58.04,72.51,65.75,57.55,62.85,67.45,68.15,79.82,85.14,74.93,71.75,60.64,57.25,57.13,63.77,76.88,60.71,64.85,77.77,71.9,79.65,86.48,90.59,86.11,85.16,57.43,48.14,57.17,62.53,75.45,64.64,62.6,10.465,0.13,0.079,9.108,-0.137,-0.019,12.551,19.744,0.185,0.127,-0.487,0.191,37.332,-3.457,0.287,-0.623
E08000032,Bradford,E01010576,Bradford 016E,264500,45.59,40.75,37.57,51.48,57.07,66.58,52.12,63.11,65.08,52.32,69.14,71.1,75.17,67.28,65.91,65.64,53.23,64.06,67.52,66.02,65.84,78.42,79.22,77.33,86.91,89.6,86.61,85.83,61.29,52.92,46.74,59.02,63.1,67.51,60.58,5.639,0.073,0.056,3.659,-0.591,-0.544,14.311,19.52,0.148,0.042,-0.98,0.145,39.389,-3.266,0.178,-0.203
E08000032,Bradford,E01010577,Bradford 013D,330750,45.33,45.41,56.33,60.99,72.03,67.11,60.29,62.45,70.47,66.46,78.1,80.92,74.45,70.94,60.67,58.88,57.56,64.49,75.28,61.06,64.9,77.54,71.49,79.14,85.87,89.23,85.91,84.49,57.78,52.76,57.66,64.03,74.22,65.38,63.65,5.604,0.068,0.046,4.431,-0.738,-0.479,10.837,27.593,0.099,0.043,-1.108,0.165,36.407,-5.042,0.511,-0.181
